Month,City,State,Latitude,Longitude,Air Quality Index,AQI Category,Observations
February,Sungai Petani,Kedah,5.2425,100.4825,49,Good,671
February,Taiping,Perak,4.8477,100.74,43,Good,671
February,Tanah Merah,Kelantan,5.8,102,48,Good,671
February,Tangkak,Johor,2.175,102.6142,35,Good,671
February,Tanjung Malim,Perak,3.679539,101.52027,38,Good,671
February,Tasek Ipoh,Perak,5.662357,100.968498,53,Moderate,671
February,Tawau,Sabah,4.25,118.25,45,Good,671
February,Temerloh,Pahang,3.5128,102.4273,34,Good,671
March,Alor Gajah,Malacca,2.3804,102.2089,45,Good,723
March,Alor Setar,Kedah,6.1248,100.367821,42,Good,744
March,Balik Pulau,Penang,5.350316,100.2349501,47,Good,744
March,Balok Baru Kuantan,Pahang,3.99097,103.376106,40,Good,744
March,Bandaraya Melaka,Malacca,2.205685,102.256155,48,Good,744
March,Banting,Selangor,2.812252,101.4977732,59,Moderate,744
March,Batu Muda,Kuala Lumpur,3.213372,101.6859031,55,Moderate,726
March,Batu Pahat,Johor,1.8548,102.9325,40,Good,726
March,Besut,Terengganu,5.820089,102.537666,50,Good,744
March,Bintulu,Sarawak,3.194335,113.095322,52,Moderate,744
March,Bukit Rambai,Malacca,2.2667,102.2667,52,Moderate,731
March,Cheras,Kuala Lumpur,3.11155,101.71477,50,Good,744
March,Indera Mahkota Kuantan,Pahang,3.8337344,103.266983,36,Good,706
March,Jerantut,Pahang,3.937395,102.362038,42,Good,708
March,Kangar,Perlis,6.4414,100.199,41,Good,695
March,Kapit,Sarawak,2.01667,112.93333,38,Good,725
March,Kemaman,Terengganu,4.73,103.44,37,Good,710
March,Keningau,Sabah,5.3378,116.16,33,Good,716
March,Kimanis,Sabah,5.1186,118.065,19,Good,723
March,Klang,Selangor,3.0314,101.4597,60,Moderate,725
March,Kluang,Johor,2.02,103.02,36,Good,731
March,Kota Bharu,Kelantan,6.1347,102.2435,54,Moderate,744
March,Kota Kinabalu,Sabah,5.9803,116.0736,30,Good,735
March,Kota Tinggi,Johor,1.729375,103.899227,28,Good,744
March,Kuala Selangor,Selangor,3.3490877,101.2467116,55,Moderate,728
March,Kuala Terengganu,Terengganu,5.33,103.08,53,Moderate,744
March,Kuching,Sarawak,1.55,110.35,30,Good,742
March,Kulim,Kedah,5.38945,100.563431,49,Good,744
March,Labuan,Sabah,5.267,115.25,39,Good,744
March,Langkawi,Kedah,6.260488,99.736169,39,Good,721
March,Larkin,Johor,1.4987,103.7456,52,Moderate,744
March,Limbang,Sarawak,4.755074,115.005516,27,Good,717
March,Minden,Penang,5.35372,100.3017647,51,Moderate,700
March,Miri,Sarawak,4.38,113.98,32,Good,744
March,Mukah,Sarawak,2.899697,112.093447,31,Good,726
March,Nilai,Negeri Sembilan,2.802455,101.7988711,57,Moderate,744
March,Paka,Terengannu,4.6541463,103.4228783,32,Good,682
March,Pasir Gudang,Johor,4.626581,103.4399588,49,Good,727
March,Pegoh Ipoh,Perak,4.65,101.1,54,Moderate,744
March,Pengerang,Johor,1.8285,104.127,36,Good,744
March,Petaling Jaya,Selangor,3.127887,101.59449,63,Moderate,744
March,Port Dickson,Negeri Sembilan,2.52254,101.796295,55,Moderate,744
March,Putrajaya,Selangor,2.926361,101.696445,49,Good,738
March,Rompin,Pahang,2.785,103.456,34,Good,719
March,Samalaju,Sarawak,3.57471,113.3165,41,Good,744
March,Samarahan,Sarawak,1.0536,110.3496,35,Good,744
March,Sandakan,Sabah,5.84,118.1287,31,Good,744
March,Sarikei,Sarawak,2.117813,111.5212111,29,Good,723
March,Seberang Jaya,Penang,5.3748,100.3913,56,Moderate,744
March,Seberang Perai,Penang,5.3801,100.407,48,Good,744
March,Segamat,Johor,2.5141,102.7613,45,Good,744
March,Seremban,Negeri Sembilan,2.7297,101.9381,66,Moderate,744
March,Seri Manjung,Perak,4.18,100.65,49,Good,743
March,Shah Alam,Selangor,3.08507,101.533,58,Moderate,729
March,Sibu,Sarawak,2.2907,111.8356,37,Good,744
March,Sri Aman,Sarawak,1.237031,111.462079,34,Good,744
March,Sungai Petani,Kedah,5.2425,100.4825,50,Good,744
March,Taiping,Perak,4.8477,100.74,46,Good,744
March,Tanah Merah,Kelantan,5.8,102,55,Moderate,737
March,Tangkak,Johor,2.175,102.6142,48,Good,743
March,Tanjung Malim,Perak,3.679539,101.52027,47,Good,744
March,Tasek Ipoh,Perak,5.662357,100.968498,56,Moderate,714
March,Tawau,Sabah,4.25,118.25,43,Good,744
March,Temerloh,Pahang,3.5128,102.4273,41,Good,739
April,Alor Gajah,Malacca,2.3804,102.2089,51,Moderate,720
April,Alor Setar,Kedah,6.1248,100.367821,45,Good,720
April,Balik Pulau,Penang,5.350316,100.2349501,47,Good,720
April,Balok Baru Kuantan,Pahang,3.99097,103.376106,44,Good,720
April,Bandaraya Melaka,Malacca,2.205685,102.256155,50,Good,720
April,Banting,Selangor,2.812252,101.4977732,63,Moderate,699
April,Batu Muda,Kuala Lumpur,3.213372,101.6859031,58,Moderate,720
April,Batu Pahat,Johor,1.8548,102.9325,44,Good,700
April,Besut,Terengganu,5.820089,102.537666,49,Good,720
April,Bintulu,Sarawak,3.194335,113.095322,52,Moderate,698
April,Bukit Rambai,Malacca,2.2667,102.2667,57,Moderate,699
April,Cheras,Kuala Lumpur,3.11155,101.71477,56,Moderate,714
April,Indera Mahkota Kuantan,Pahang,3.8337344,103.266983,35,Good,720
April,Jerantut,Pahang,3.937395,102.362038,44,Good,537
April,Kangar,Perlis,6.4414,100.199,43,Good,720
April,Kapit,Sarawak,2.01667,112.93333,37,Good,720
April,Kemaman,Terengganu,4.73,103.44,40,Good,720
April,Keningau,Sabah,5.3378,116.16,35,Good,720
April,Kimanis,Sabah,5.1186,118.065,24,Good,680
April,Klang,Selangor,3.0314,101.4597,63,Moderate,720
April,Kluang,Johor,2.02,103.02,41,Good,683
April,Kota Bharu,Kelantan,6.1347,102.2435,53,Moderate,720
April,Kota Kinabalu,Sabah,5.9803,116.0736,36,Good,720
April,Kota Tinggi,Johor,1.729375,103.899227,43,Good,720
April,Kuala Selangor,Selangor,3.3490877,101.2467116,59,Moderate,720
April,Kuala Terengganu,Terengganu,5.33,103.08,58,Moderate,719
April,Kuching,Sarawak,1.55,110.35,30,Good,718
April,Kulim,Kedah,5.38945,100.563431,48,Good,720
April,Labuan,Sabah,5.267,115.25,39,Good,720
April,Langkawi,Kedah,6.260488,99.736169,38,Good,720
April,Larkin,Johor,1.4987,103.7456,59,Moderate,720
